customer_id,retention_segment,churn_probability,support_tickets_per_month,has_app,recommended_action,priority_band
4012,Critical: High Support & No App,0.44916369142689105,1.0,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
13120,Critical: High Support & No App,0.4402500102627726,0.833,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
11346,Critical: High Support & No App,0.43853861671766386,0.833,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
19876,Critical: High Support & No App,0.434134125336348,0.667,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
5559,Critical: High Support & No App,0.43324016917244484,0.833,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
11234,Critical: High Support & No App,0.4331062589846695,1.0,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
8071,Critical: High Support & No App,0.43067538012424333,0.667,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
15515,Critical: High Support & No App,0.4293084615064699,0.667,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
3927,Critical: High Support & No App,0.42920413141034064,1.167,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
5349,Critical: High Support & No App,0.42816905514032766,0.667,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
15096,Critical: High Support & No App,0.42753390211056486,0.667,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
5148,Critical: High Support & No App,0.42553964057545557,1.0,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
4978,Critical: High Support & No App,0.42515112224599033,1.0,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
19941,Critical: High Support & No App,0.42504015392067795,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
18232,Critical: High Support & No App,0.42405762625805493,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
1380,Critical: High Support & No App,0.42373804748267635,1.333,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
14354,Critical: High Support & No App,0.4232289085954176,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
6367,Critical: High Support & No App,0.4222917527937412,1.0,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
6804,Critical: High Support & No App,0.4220337003334979,0.667,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
8644,Critical: High Support & No App,0.4216894870606601,0.667,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
14024,Critical: High Support & No App,0.4212955267257336,0.667,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
1101,Critical: High Support & No App,0.419674774626047,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
9553,Critical: High Support & No App,0.4186669018473017,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
3864,Critical: High Support & No App,0.4184422388362213,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
6474,Critical: High Support & No App,0.41656338061683457,0.667,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
2516,Critical: High Support & No App,0.41518578695789027,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
19228,Critical: High Support & No App,0.41505932019500064,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
15770,Critical: High Support & No App,0.4146239911135749,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
16769,Critical: High Support & No App,0.41448091974012874,0.833,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
11430,Critical: High Support & No App,0.4144619927982112,0.667,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
8956,Critical: High Support & No App,0.41445645484919225,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
4667,App Adoption Opportunity,0.4136217149872427,0.333,0,Run app-install campaign with data/top-up incentives,P1
18772,Critical: High Support & No App,0.4135565842740521,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
15885,Critical: High Support & No App,0.4134077394286716,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
4820,Critical: High Support & No App,0.4128800338577735,1.0,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
9761,Critical: High Support & No App,0.41284808848604093,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
12730,Critical: High Support & No App,0.4126346826739359,0.5,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
16928,Critical: High Support & No App,0.4121494774256674,0.833,0,"Assign concierge support, fix pain points, drive app onboarding incentive",P1
